,.DJI,JPM,TRST,BLK
1/3/2023 16:00:00,33136.37,135.12,37.8,712.04
1/4/2023 16:00:00,33269.77,136.38,37.6,721.9
1/5/2023 16:00:00,32930.08,135.35,37.24,701.24
1/6/2023 16:00:00,33630.61,137.94,37.94,738
1/9/2023 16:00:00,33517.65,137.37,37.36,752.99
1/10/2023 16:00:00,33704.1,138.6,37.96,757.28
1/11/2023 16:00:00,33973.01,139.63,38.01,755.92
1/12/2023 16:00:00,34189.97,139.49,38.42,753.96
1/13/2023 16:00:00,34302.61,143.01,38.7,753.99
1/17/2023 16:00:00,33910.85,140.8,38.46,749.73
1/18/2023 16:00:00,33296.96,136.57,37.32,747.36
1/19/2023 16:00:00,33044.56,134.75,36.98,729.87
1/20/2023 16:00:00,33375.49,135.08,37.44,741.71
1/23/2023 16:00:00,33629.56,137.27,36.79,748.02
1/24/2023 16:00:00,33733.96,138.45,37.35,752.07
1/25/2023 16:00:00,33743.84,139.12,33.06,751.25
1/26/2023 16:00:00,33949.41,139.98,33.66,758.9
1/27/2023 16:00:00,33978.08,140.32,34.53,759.18
1/30/2023 16:00:00,33717.09,139.13,34.84,747.86
1/31/2023 16:00:00,34086.04,139.96,35.91,759.21
2/1/2023 16:00:00,34092.96,139.59,36.17,762.63
2/2/2023 16:00:00,34053.94,138.94,36.89,770.73
2/3/2023 16:00:00,33926.01,141.09,37.6,757.16
2/6/2023 16:00:00,33891.02,141.92,37.13,742.38
2/7/2023 16:00:00,34156.69,143.65,37.41,740.82
2/8/2023 16:00:00,33949.01,142.64,37.2,729.86
2/9/2023 16:00:00,33699.88,140.42,36.61,715.97
2/10/2023 16:00:00,33869.27,141.04,36.62,723.51
2/13/2023 16:00:00,34245.93,142.57,37.07,736.91
2/14/2023 16:00:00,34089.27,143.2,36.46,729.15
2/15/2023 16:00:00,34128.05,143.8,36.58,724.19
2/16/2023 16:00:00,33696.85,141.82,36.61,713
2/17/2023 16:00:00,33826.69,142.24,37.04,716.16
2/21/2023 16:00:00,33129.59,139.63,36.7,695.75
2/22/2023 16:00:00,33045.09,138.56,36.74,687.41
2/23/2023 16:00:00,33153.91,139.67,37.04,691.84
2/24/2023 16:00:00,32816.92,140.93,36.87,683.43
2/27/2023 16:00:00,32889.09,142.16,37.14,683.06
2/28/2023 16:00:00,32656.7,143.35,37.46,689.43
3/1/2023 16:00:00,32661.84,142.55,37.21,680.56
3/2/2023 16:00:00,33003.57,141.07,36.74,685.91
3/3/2023 16:00:00,33390.97,143.66,37.13,695.24
3/6/2023 16:00:00,33431.44,142.82,36.57,688.39
3/7/2023 16:00:00,32856.46,138.62,36.24,674.66
3/8/2023 16:00:00,32798.4,137.8,36.2,674.36
3/9/2023 16:00:00,32254.86,130.34,35.23,651.28
3/10/2023 16:00:00,31909.64,133.65,34.53,635.03
3/13/2023 16:00:00,31819.14,131.25,32.59,625.77
3/14/2023 16:00:00,32155.4,134.62,33.1,637.83
3/15/2023 16:00:00,31874.57,128.26,34.05,631.74
3/16/2023 16:00:00,32246.55,130.75,35.23,636.98
3/17/2023 16:00:00,31861.98,125.81,33.97,636.71
3/20/2023 16:00:00,32244.58,127.14,33.61,643.56
3/21/2023 16:00:00,32560.6,130.55,34.38,662.15
3/22/2023 16:00:00,32030.11,127.18,32.65,648.32
3/23/2023 16:00:00,32105.25,126.84,32.16,651.78
3/24/2023 16:00:00,32237.53,124.91,32.79,644.88
3/27/2023 16:00:00,32432.08,128.49,32.72,648.32
3/28/2023 16:00:00,32394.25,128.88,32.39,646.24
3/29/2023 16:00:00,32717.6,129.14,32.23,657.22
3/30/2023 16:00:00,32859.03,128.75,31.72,661.04
3/31/2023 16:00:00,33274.15,130.31,31.94,669.12
4/3/2023 16:00:00,33601.15,130.16,31.76,666.41
4/4/2023 16:00:00,33402.38,128.42,31.02,659.11
4/5/2023 16:00:00,33482.72,127.61,30.63,656.04
4/6/2023 16:00:00,33485.29,127.47,30.91,656.4
4/10/2023 16:00:00,33586.52,127.89,31.12,659.82
4/11/2023 16:00:00,33684.79,128.52,30.93,669.68
4/12/2023 16:00:00,33646.5,128.5,30.71,665.97
4/13/2023 16:00:00,34029.69,128.99,30.64,670.73
4/14/2023 16:00:00,33886.47,138.73,29.99,691.33
4/17/2023 16:00:00,33987.18,139.83,30.46,698.36
4/18/2023 16:00:00,33976.63,141.4,29.49,694.03
4/19/2023 16:00:00,33897.01,141.22,30.05,695.24
4/20/2023 16:00:00,33786.62,140.81,29.57,696.38
4/21/2023 16:00:00,33808.96,140.54,29.47,680.94
